seed,history_length,representation,split,horizon,signal,status,n_origins,n_forecast_samples,trajectory_rmse,endpoint_mae,mean_predicted_events,preprojection_invalid_state_rate,duration_clip_rate,zero_duration_displacement_projection_rate,postprojection_valid_rate,rollout_completion_rate,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,mean_input_raw_span,n_predictive_parameters,rollout_runtime_median_s,candidate_rmse_ratio_vs_control
228973438714350052,4,vectorchain_relational,test,64,regime_change,ok,14,896,0.5574117174387135,0.9610723205247818,18.785714285714285,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,45.142857142857146,87,0.0027143000000000002,1.0
228973438714350052,4,fixed_relational,test,64,second_order_response,ok,17,1088,0.5034785289886659,0.9345325578128717,14.294117647058824,0.0,0.11764705882352941,0.0,1.0,1.0,4.0,28.0,224.0,37.0,87,0.0021892,0.11381720051983138
228973438714350052,4,persistence,test,64,second_order_response,ok,17,1088,0.02975440007259963,0.034655172335138575,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,5.1e-06,1.925917395461237
228973438714350052,4,raw_ar,test,64,second_order_response,ok,17,1088,0.030161770263441964,0.03736837816832718,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.0093656,1.8999056153142821
228973438714350052,4,raw_matched,test,64,second_order_response,ok,17,1088,0.21564491596179083,0.4163341314303921,23.529411764705884,0.4117647058823529,0.4117647058823529,0.4117647058823529,1.0,1.0,28.0,28.0,224.0,28.0,87,0.0022482,0.2657355330439891
228973438714350052,4,vectorchain_absolute,test,64,second_order_response,ok,17,1088,0.057299315852450766,0.06943783037763161,19.0,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,36.294117647058826,63,0.0026924,1.000090766160199
228973438714350052,4,vectorchain_cartesian,test,64,second_order_response,ok,17,1088,0.047964872649529165,0.05858295548128207,19.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,36.294117647058826,39,0.0027216,1.1947184163303566
228973438714350052,4,vectorchain_relational,test,64,second_order_response,ok,17,1088,0.05730451669133272,0.06944177638285194,19.0,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,36.294117647058826,87,0.0026852,1.0
228973438714350052,4,fixed_relational,test,64,sine,ok,14,896,0.4380060178407741,0.7210168783575054,12.785714285714286,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,37.0,87,0.0019018,0.31171175460523426
228973438714350052,4,persistence,test,64,sine,ok,14,896,0.2167588819114555,0.3179727029718902,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,7.45e-06,0.6298778769516418
