condition_id,seed,horizon,context_length,tolerance,variant,features,role,representation,split,signal,n_examples,mae,rmse,rmse_ratio_vs_reference
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,first_order_response,51,0.012073202926499124,0.014937454459944493,1.0
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,second_order_response,51,0.011497370880669391,0.013971627532656924,1.0
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,regime_change,51,0.035691341696631226,0.04327249063630306,1.0
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,sine,52,0.018745521043670728,0.023215714229966246,1.0
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,chirp,52,0.03152600349048052,0.04222733480683144,1.0
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,ramp,52,0.012598345222217215,0.014833672234912174,1.0
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,piecewise_linear,52,0.011551859795538811,0.014645834940850458,1.0
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,first_order_response,52,0.012509506916379773,0.0157092731759715,1.0
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,second_order_response,52,0.011939280973222619,0.0148179970418403,1.0
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,regime_change,52,0.03959787018458154,0.04805784977040865,1.0
seed-1729__h-4__c-32__turning_matched,1729,4,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,sine,51,0.019913038617649623,0.02442483710110706,1.0005231566523238
seed-1729__h-4__c-32__turning_matched,1729,4,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,chirp,51,0.026590703215294404,0.03475283372334952,0.8658812692507971
seed-1729__h-4__c-32__turning_matched,1729,4,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,ramp,51,0.009701748727285249,0.012020875931570762,0.9977294995904201
seed-1729__h-4__c-32__turning_matched,1729,4,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,piecewise_linear,51,0.013839787846663523,0.0167778317614737,1.001291067921415
seed-1729__h-4__c-32__turning_matched,1729,4,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,first_order_response,51,0.012061667037176727,0.014923251382714314,0.9990491634790744
