representation,role,causal_scope,split,horizon,context_length,signal,n_seeds,rmse_mean,rmse_median,candidate_rmse_ratio_vs_control_mean,candidate_rmse_ratio_vs_control_median
moving_average_geometry,causal_control,strict_online,test,4,32,sine,5,0.021772903377475714,0.021313678111742018,1.0344730462219003,1.0329323703444078
moving_average_geometry,causal_control,strict_online,test,4,64,chirp,5,0.043036842901222574,0.04260120375046156,0.9967107482002652,1.0113168408101318
moving_average_geometry,causal_control,strict_online,test,4,64,first_order_response,5,0.019212791199143594,0.018610190175957615,0.7998545123247404,0.8059810749811893
moving_average_geometry,causal_control,strict_online,test,4,64,piecewise_linear,5,0.01865435079950547,0.01846266793734118,0.7949790028805767,0.7952247808680342
moving_average_geometry,causal_control,strict_online,test,4,64,ramp,5,0.01698867003207613,0.01801740552872868,0.7925166213869091,0.7838429289975019
moving_average_geometry,causal_control,strict_online,test,4,64,regime_change,5,0.042177206356947806,0.042524844711220006,1.1611105976112652,1.130797739793973
moving_average_geometry,causal_control,strict_online,test,4,64,second_order_response,5,0.019874371973246846,0.019879618383848895,0.801804261272882,0.8014520689502891
moving_average_geometry,causal_control,strict_online,test,4,64,sine,5,0.02038950413752316,0.020786876447980142,1.006242641856494,0.9858683452628361
moving_average_geometry,causal_control,strict_online,test,4,128,chirp,5,0.04862123062865097,0.04859153803487674,1.121722458907697,1.1372731875407585
moving_average_geometry,causal_control,strict_online,test,4,128,first_order_response,5,0.019244637987067947,0.01861002931886596,0.7849419432136344,0.7901660065723793
moving_average_geometry,causal_control,strict_online,test,4,128,piecewise_linear,5,0.018664136192580498,0.01844369219847025,0.7873359423332323,0.7941906550761371
moving_average_geometry,causal_control,strict_online,test,4,128,ramp,5,0.017067741443141014,0.018061911835950743,0.7769964452722362,0.7767813603935848
moving_average_geometry,causal_control,strict_online,test,4,128,regime_change,5,0.046565620134374416,0.04658380851080075,1.2597348109462465,1.2635514749600594
moving_average_geometry,causal_control,strict_online,test,4,128,second_order_response,5,0.01988098823370394,0.019856214492912146,0.8114896003255714,0.8093255892289384
moving_average_geometry,causal_control,strict_online,test,4,128,sine,5,0.020094766296623108,0.02052090235253363,1.0120115675224155,0.9374177758903205
moving_average_geometry,causal_control,strict_online,test,16,32,chirp,5,0.25999192646054065,0.22924714183051453,1.2336321778950956,1.188744944575315
moving_average_geometry,causal_control,strict_online,test,16,32,first_order_response,5,0.04400239568272177,0.045466875925469975,0.4300855948451777,0.4472864637640412
moving_average_geometry,causal_control,strict_online,test,16,32,piecewise_linear,5,0.0417977182507339,0.04278915121913855,0.44909814412475235,0.4312529807004049
moving_average_geometry,causal_control,strict_online,test,16,32,ramp,5,0.04148542408021737,0.03749276665600917,0.45105532940020554,0.4798075675886718
moving_average_geometry,causal_control,strict_online,test,16,32,regime_change,5,0.29911124713932746,0.2459794209646186,1.215007610496047,1.0559364337547326
moving_average_geometry,causal_control,strict_online,test,16,32,second_order_response,5,0.04544625512137017,0.04523467098171857,0.45727500622052836,0.47131853194093337
moving_average_geometry,causal_control,strict_online,test,16,32,sine,5,0.06387696134685478,0.05908869616289137,1.459740599189683,1.5664685635341558
moving_average_geometry,causal_control,strict_online,test,16,64,chirp,5,0.25255113784479916,0.25403982909118444,1.0912079308813776,1.0450321562610754
moving_average_geometry,causal_control,strict_online,test,16,64,first_order_response,5,0.04108413814198042,0.04144898834802687,0.411653242835451,0.4155027226228382
moving_average_geometry,causal_control,strict_online,test,16,64,piecewise_linear,5,0.039454278114178065,0.04021081907947277,0.4660854557713396,0.45759465992394915
moving_average_geometry,causal_control,strict_online,test,16,64,ramp,5,0.036996733081682984,0.03645325485199428,0.4172181097847786,0.42092883540471243
moving_average_geometry,causal_control,strict_online,test,16,64,regime_change,5,0.2716483499506265,0.27191435383322776,1.1662467853049292,1.1446677555017957
moving_average_geometry,causal_control,strict_online,test,16,64,second_order_response,5,0.04097594148721179,0.042313535653138494,0.5316850770585606,0.5289155589126331
moving_average_geometry,causal_control,strict_online,test,16,64,sine,5,0.052626495330720266,0.05133087264346214,1.182455807068108,1.169899890688786
