condition_id,seed,horizon,context_length,tolerance,role,causal_scope,selected_parameter,representation,split,signal,n_examples,mae,rmse,candidate_rmse_ratio_vs_control
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,candidate,strict_online,,absolute_geometry,test,sine,52,0.018745521043670728,0.023215714229966246,
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,candidate,strict_online,,absolute_geometry,test,chirp,52,0.03152600349048052,0.04222733480683144,
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,candidate,strict_online,,absolute_geometry,test,ramp,52,0.012598345222217215,0.014833672234912174,
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,candidate,strict_online,,absolute_geometry,test,piecewise_linear,52,0.011551859795538811,0.014645834940850458,
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,candidate,strict_online,,absolute_geometry,test,first_order_response,52,0.012509506916379773,0.0157092731759715,
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,candidate,strict_online,,absolute_geometry,test,second_order_response,52,0.011939280973222619,0.0148179970418403,
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,candidate,strict_online,,absolute_geometry,test,regime_change,52,0.03959787018458154,0.04805784977040865,
seed-1729__h-4__c-32__local_geometry,1729,4,32,,primary_control,strict_online,1,local_geometry,validation,sine,51,0.019957836569748907,0.024669838669470395,0.9895510908514756
seed-1729__h-4__c-32__local_geometry,1729,4,32,,primary_control,strict_online,1,local_geometry,validation,chirp,51,0.05746328049148139,0.0652969730631824,0.6146654862767439
seed-1729__h-4__c-32__local_geometry,1729,4,32,,primary_control,strict_online,1,local_geometry,validation,ramp,51,0.009775089943214663,0.011965474644513021,1.006916299097968
seed-1729__h-4__c-32__local_geometry,1729,4,32,,primary_control,strict_online,1,local_geometry,validation,piecewise_linear,51,0.01251662220724592,0.015787586775356174,1.0613527329856058
seed-1729__h-4__c-32__local_geometry,1729,4,32,,primary_control,strict_online,1,local_geometry,validation,first_order_response,51,0.011728103656335732,0.01450624032201042,1.029726112925331
seed-1729__h-4__c-32__local_geometry,1729,4,32,,primary_control,strict_online,1,local_geometry,validation,second_order_response,51,0.010335413841418931,0.01307818727979515,1.0683152973533323
seed-1729__h-4__c-32__local_geometry,1729,4,32,,primary_control,strict_online,1,local_geometry,validation,regime_change,51,0.10410362933527284,0.11628118616404945,0.3721366462090802
seed-1729__h-4__c-32__local_geometry,1729,4,32,,primary_control,strict_online,1,local_geometry,test,sine,52,0.01862580395869849,0.023066290894555055,1.006477995794567
